Time Bucket (America/New_York),30 Bellevue_1 (kWhs),30 Bellevue_2 (kWhs),Tesla Charger (kWhs),Heat Pump Attic (kWhs),Heat Pump Basement (kWhs),Oven (kWhs)
10/08/2022 16:00:00,0.3786,0.5813,0.0000,0.0034,0.0008,0.0034
10/08/2022 17:00:00,0.4233,0.5432,0.0000,0.0030,0.0009,0.0029
10/08/2022 18:00:00,0.4575,1.0259,0.0001,0.0055,0.0010,0.0078
10/08/2022 19:00:00,0.4706,0.7215,0.0001,0.0033,0.0115,0.0050
10/08/2022 20:00:00,0.4869,0.6004,0.0001,0.0413,0.0201,0.0043
10/08/2022 21:00:00,0.9800,0.8971,0.0000,0.9791,0.0110,0.0042
10/08/2022 22:00:00,1.0233,1.0356,0.0000,1.1554,0.0247,0.0052
10/08/2022 23:00:00,1.3472,1.4583,0.0000,1.7314,0.0117,0.0073
10/09/2022 00:00:00,1.1623,1.2377,0.0000,1.4302,0.0271,0.0065
10/09/2022 01:00:00,1.3071,1.3038,0.0000,1.6517,0.0157,0.0068
10/09/2022 02:00:00,1.4241,1.4940,0.0000,1.9179,0.0342,0.0080
10/09/2022 03:00:00,1.3365,1.3769,0.0000,1.6744,0.0053,0.0073
10/09/2022 04:00:00,0.9428,0.9808,0.0000,0.9875,0.0343,0.0061
10/09/2022 05:00:00,0.9459,1.4628,0.0003,0.9990,0.0118,0.0097
10/09/2022 06:00:00,1.6365,2.0851,0.0001,2.1489,0.0299,0.0104
10/09/2022 07:00:00,1.1846,1.3795,0.0000,1.3169,0.0210,0.0073
10/09/2022 08:00:00,1.2639,1.4421,0.0000,1.5777,0.0143,0.0072
10/09/2022 09:00:00,0.7712,0.8280,0.0000,0.4031,0.3188,0.0043
10/09/2022 10:00:00,0.7545,0.7089,0.0280,0.3364,0.2912,0.0036
10/09/2022 11:00:00,2.9405,2.3842,0.0000,2.1707,1.0020,0.0071
10/09/2022 12:00:00,2.2359,1.6871,0.0000,1.1228,0.7574,0.0045
10/09/2022 13:00:00,1.2150,1.4512,0.0000,0.9714,0.0022,0.0080
10/09/2022 14:00:00,0.6484,0.3934,0.0000,0.0023,0.0008,0.0023
10/09/2022 15:00:00,0.7821,0.5239,0.0000,0.0022,0.0010,0.0029
10/09/2022 16:00:00,0.7400,0.5362,0.0000,0.0022,0.0005,0.0028
10/09/2022 17:00:00,1.0873,0.4856,0.0000,0.0021,0.0009,0.0019
10/09/2022 18:00:00,1.4186,1.3803,0.0000,0.0062,0.0033,0.0066
10/09/2022 19:00:00,1.3563,0.9961,0.0000,0.0045,0.0025,0.0030
10/09/2022 20:00:00,1.4191,0.7467,0.0000,0.3078,0.0019,0.0022
10/09/2022 21:00:00,0.7368,0.7859,0.0000,0.3592,0.0264,0.0046
10/09/2022 22:00:00,0.6205,0.6792,0.0000,0.2913,0.0007,0.0044
10/09/2022 23:00:00,0.8883,0.9057,0.0000,0.8209,0.0157,0.0049
10/10/2022 00:00:00,0.8491,0.8445,0.0000,0.7769,0.0116,0.0049
10/10/2022 01:00:00,1.1523,1.2052,0.0000,1.2857,0.0138,0.0066
10/10/2022 02:00:00,2.7129,2.6925,2.9121,1.5454,0.0207,0.0093
10/10/2022 03:00:00,7.0078,7.0023,11.9765,1.1378,0.0059,0.0186
10/10/2022 04:00:00,7.1903,7.6151,11.9305,1.5286,0.0297,0.0202
10/10/2022 05:00:00,3.1993,4.0285,5.1078,0.4058,0.0041,0.0145
10/10/2022 06:00:00,1.6136,1.5043,0.0001,0.0238,0.9899,0.0062
10/10/2022 07:00:00,1.7621,1.6242,0.0001,1.6565,0.0036,0.0068
10/10/2022 08:00:00,1.8165,1.9372,0.0000,2.2920,0.0018,0.0083
10/10/2022 09:00:00,1.4062,1.2612,0.0000,1.5023,0.0015,0.0052
10/10/2022 10:00:00,0.5282,0.4192,0.0000,0.0349,0.0009,0.0023
10/10/2022 11:00:00,1.6055,1.0892,0.0000,0.7947,0.0329,0.0044
10/10/2022 12:00:00,1.0448,1.0445,0.0000,0.2715,0.7858,0.0034
10/10/2022 13:00:00,0.4903,0.5807,0.0000,0.0040,0.0007,0.0030
10/10/2022 14:00:00,0.7385,0.8504,0.0000,0.0039,0.2809,0.0036
10/10/2022 15:00:00,0.7994,0.8768,0.0000,0.0033,0.5688,0.0027
10/10/2022 16:00:00,0.3980,0.9038,0.0001,0.0056,0.0009,0.0061
10/10/2022 17:00:00,0.4480,0.8525,0.0001,0.0050,0.0008,0.0055
10/10/2022 18:00:00,0.7788,0.8209,0.0000,0.0040,0.0010,0.0044
10/10/2022 19:00:00,1.2284,0.8443,0.0000,0.0028,0.0017,0.0035
10/10/2022 20:00:00,0.6927,0.7416,0.0003,0.0033,0.0007,0.0043
10/10/2022 21:00:00,0.7473,0.7130,0.0000,0.4355,0.0008,0.0035
10/10/2022 22:00:00,0.5724,0.5231,0.0000,0.2388,0.0007,0.0032
10/10/2022 23:00:00,0.6230,0.6220,0.0000,0.3483,0.0258,0.0040
10/11/2022 00:00:00,0.8096,0.8980,0.0000,0.7077,0.0012,0.0055
10/11/2022 01:00:00,1.2143,1.2185,0.0000,1.4387,0.0122,0.0064
10/11/2022 02:00:00,0.5267,0.4844,0.0000,0.1584,0.0155,0.0042
10/11/2022 03:00:00,1.3505,1.3469,0.0000,1.7193,0.0015,0.0071
10/11/2022 04:00:00,0.9338,1.4061,0.0002,0.8887,0.0279,0.0095
10/11/2022 05:00:00,2.5840,2.3910,0.0001,1.4702,1.3608,0.0087
10/11/2022 06:00:00,1.3231,1.3859,0.0000,0.0037,1.0222,0.0049
10/11/2022 07:00:00,1.1192,1.0307,0.0000,0.0049,0.4334,0.0035
10/11/2022 08:00:00,1.2761,1.2734,0.0000,1.3815,0.0293,0.0052
10/11/2022 09:00:00,1.7434,1.6619,0.0000,1.9972,0.2502,0.0060
10/11/2022 10:00:00,1.1525,1.1882,0.0000,1.3631,0.0013,0.0055
10/11/2022 11:00:00,0.9830,0.9955,0.0000,0.4929,0.5102,0.0036
10/11/2022 12:00:00,1.1947,0.9288,0.0000,0.4941,0.3519,0.0036
10/11/2022 13:00:00,0.5158,0.8717,0.0000,0.0053,0.0011,0.0061
10/11/2022 14:00:00,0.5755,0.5606,0.0000,0.0030,0.2426,0.0027
10/11/2022 15:00:00,0.4964,0.5078,0.0000,0.0032,0.1666,0.0026
10/11/2022 16:00:00,0.6238,1.1036,0.0001,0.0052,0.2687,0.0064
10/11/2022 17:00:00,1.5163,1.5155,0.0013,0.7448,0.2333,0.0059
10/11/2022 18:00:00,5.6744,5.4592,8.4731,0.3007,0.0062,0.0127
10/11/2022 19:00:00,1.2203,1.0850,0.0000,0.3913,0.0016,0.0041
10/11/2022 20:00:00,1.0610,1.0805,0.0001,0.3623,0.0021,0.0046
10/11/2022 21:00:00,0.5087,0.5226,0.0000,0.0035,0.0006,0.0024
10/11/2022 22:00:00,0.4390,0.5324,0.0000,0.0040,0.0006,0.0030
10/11/2022 23:00:00,0.4387,0.5965,0.0000,0.0041,0.0008,0.0042
10/12/2022 00:00:00,0.6679,0.7681,0.0000,0.4106,0.0235,0.0053
10/12/2022 01:00:00,0.7350,0.6835,0.0000,0.5424,0.0022,0.0045
10/12/2022 02:00:00,0.4386,0.4425,0.0000,0.0038,0.0008,0.0036
10/12/2022 03:00:00,6.4612,6.4643,9.5773,1.8083,0.0269,0.0157
10/12/2022 04:00:00,0.6639,1.0571,0.0001,0.4118,0.0046,0.0074
10/12/2022 05:00:00,1.1567,1.9593,0.0008,1.3454,0.0019,0.0114
10/12/2022 06:00:00,1.4405,1.6129,0.0001,0.3725,0.7861,0.0060
10/12/2022 07:00:00,0.6862,1.0319,0.0000,0.0044,0.4246,0.0048
10/12/2022 08:00:00,1.1204,1.2891,0.0000,0.8062,0.4418,0.0046
10/12/2022 09:00:00,0.7306,0.7990,0.0000,0.4562,0.0009,0.0036
10/12/2022 10:00:00,0.4854,0.3676,0.0000,0.0033,0.0008,0.0023
10/12/2022 11:00:00,0.5092,0.4076,0.0000,0.0033,0.0008,0.0025
10/12/2022 12:00:00,0.8862,0.9609,0.0000,0.4841,0.2908,0.0043
10/12/2022 13:00:00,1.8781,2.2561,0.0000,1.8852,0.5405,0.0095
10/12/2022 14:00:00,0.8641,0.9998,0.0000,0.5113,0.2378,0.0043
10/12/2022 15:00:00,0.5107,0.5979,0.0000,0.0033,0.1975,0.0031
10/12/2022 16:00:00,0.4797,0.9404,0.0001,0.0051,0.0008,0.0070
10/12/2022 17:00:00,0.5063,0.8013,0.0000,0.0042,0.0008,0.0048
10/12/2022 18:00:00,1.3348,0.9161,0.0000,0.0040,0.0027,0.0033
10/12/2022 19:00:00,0.9943,0.8384,0.0000,0.0038,0.0021,0.0041
10/12/2022 20:00:00,0.5832,0.6087,0.0000,0.0033,0.0007,0.0037
10/12/2022 21:00:00,0.5014,0.4380,0.0000,0.0026,0.0006,0.0030
10/12/2022 22:00:00,0.4315,0.5020,0.0000,0.0032,0.0007,0.0042
10/12/2022 23:00:00,0.4232,0.4031,0.0000,0.0034,0.0008,0.0041
10/13/2022 00:00:00,0.4204,0.5010,0.0000,0.0043,0.0009,0.0045
10/13/2022 01:00:00,0.4217,0.5635,0.0000,0.0041,0.0009,0.0052
10/13/2022 02:00:00,0.4239,0.5872,0.0000,0.0041,0.0010,0.0052
10/13/2022 03:00:00,0.4240,0.5650,0.0000,0.0042,0.0009,0.0052
10/13/2022 04:00:00,0.5992,1.0987,0.0003,0.3338,0.0015,0.0086
10/13/2022 05:00:00,0.5142,0.9811,0.0003,0.1674,0.0010,0.0079
10/13/2022 06:00:00,1.1117,0.8747,0.0000,0.0050,0.0025,0.0046
10/13/2022 07:00:00,0.9931,0.9183,0.0002,0.0050,0.0021,0.0060
10/13/2022 08:00:00,0.5339,0.6593,0.0001,0.0041,0.0006,0.0043
10/13/2022 09:00:00,0.4524,0.5181,0.0000,0.0035,0.0006,0.0028
10/13/2022 10:00:00,0.6159,0.6347,0.0000,0.0032,0.2046,0.0027
10/13/2022 11:00:00,0.5117,0.5170,0.0000,0.0035,0.0007,0.0031
10/13/2022 12:00:00,0.6688,0.5580,0.0000,0.0034,0.0007,0.0028
10/13/2022 13:00:00,0.6325,0.5294,0.0000,0.0031,0.1307,0.0027
10/13/2022 14:00:00,0.4987,0.4830,0.0011,0.0035,0.0006,0.0035
10/13/2022 15:00:00,0.5731,0.6962,0.0000,0.0042,0.0848,0.0038
10/13/2022 16:00:00,1.0998,0.9496,0.0000,0.0046,0.0017,0.0052
10/13/2022 17:00:00,1.1003,0.9109,0.0000,0.0043,0.0018,0.0046
10/13/2022 18:00:00,0.8253,0.9579,0.0001,0.0043,0.0013,0.0056
10/13/2022 19:00:00,1.1172,0.9407,0.0000,0.0038,0.0015,0.0041
10/13/2022 20:00:00,1.3912,1.0347,0.0000,0.3224,0.0021,0.0042
10/13/2022 21:00:00,0.6278,0.7487,0.0000,0.0032,0.0008,0.0044
10/13/2022 22:00:00,0.4340,0.5755,0.0000,0.0041,0.0008,0.0040
10/13/2022 23:00:00,0.4337,0.4346,0.0000,0.0036,0.0008,0.0038
10/14/2022 00:00:00,0.4343,0.5436,0.0000,0.0042,0.0008,0.0049
10/14/2022 01:00:00,0.4364,0.4844,0.0000,0.0041,0.0011,0.0051
