,period,subba-name,value,value-units
3983,2019-01-16T00,Dominion Virginia Power zone,14801,megawatthours
3982,2019-01-16T01,Dominion Virginia Power zone,14936,megawatthours
3981,2019-01-16T02,Dominion Virginia Power zone,14999,megawatthours
3980,2019-01-16T03,Dominion Virginia Power zone,14664,megawatthours
3979,2019-01-16T04,Dominion Virginia Power zone,14175,megawatthours
3978,2019-01-16T05,Dominion Virginia Power zone,13790,megawatthours
3977,2019-01-16T06,Dominion Virginia Power zone,13662,megawatthours
3976,2019-01-16T07,Dominion Virginia Power zone,13646,megawatthours
3975,2019-01-16T08,Dominion Virginia Power zone,13722,megawatthours
3974,2019-01-16T09,Dominion Virginia Power zone,13937,megawatthours
3973,2019-01-16T10,Dominion Virginia Power zone,14422,megawatthours
3972,2019-01-16T11,Dominion Virginia Power zone,15366,megawatthours
3971,2019-01-16T12,Dominion Virginia Power zone,16520,megawatthours
3970,2019-01-16T13,Dominion Virginia Power zone,16794,megawatthours
3969,2019-01-16T14,Dominion Virginia Power zone,16102,megawatthours
3968,2019-01-16T15,Dominion Virginia Power zone,14872,megawatthours
3967,2019-01-16T16,Dominion Virginia Power zone,13754,megawatthours
3966,2019-01-16T17,Dominion Virginia Power zone,12978,megawatthours
3965,2019-01-16T18,Dominion Virginia Power zone,12346,megawatthours
3964,2019-01-16T19,Dominion Virginia Power zone,11910,megawatthours
3963,2019-01-16T20,Dominion Virginia Power zone,11645,megawatthours
3962,2019-01-16T21,Dominion Virginia Power zone,11765,megawatthours
3961,2019-01-16T22,Dominion Virginia Power zone,12367,megawatthours
3960,2019-01-16T23,Dominion Virginia Power zone,13443,megawatthours
3959,2019-01-17T00,Dominion Virginia Power zone,13962,megawatthours
3958,2019-01-17T01,Dominion Virginia Power zone,14124,megawatthours
3957,2019-01-17T02,Dominion Virginia Power zone,14077,megawatthours
3956,2019-01-17T03,Dominion Virginia Power zone,13642,megawatthours
3955,2019-01-17T04,Dominion Virginia Power zone,13042,megawatthours
3954,2019-01-17T05,Dominion Virginia Power zone,12537,megawatthours
3953,2019-01-17T06,Dominion Virginia Power zone,12284,megawatthours
3952,2019-01-17T07,Dominion Virginia Power zone,12178,megawatthours
3951,2019-01-17T08,Dominion Virginia Power zone,12217,megawatthours
3950,2019-01-17T09,Dominion Virginia Power zone,12414,megawatthours
