"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"10/14/2022 2 p.m. PDT",23,974,0,126,864,422
LDWP,"10/14/2022 3 p.m. PDT",19,934,0,116,750,420
LDWP,"10/14/2022 4 p.m. PDT",17,844,0,116,659,415
LDWP,"10/14/2022 5 p.m. PDT",17,607,180,136,906,435
LDWP,"10/14/2022 6 p.m. PDT",16,162,184,140,1258,636
LDWP,"10/14/2022 7 p.m. PDT",8,1,182,149,1263,701
LDWP,"10/14/2022 8 p.m. PDT",1,0,182,151,1255,662
LDWP,"10/14/2022 9 p.m. PDT",0,0,183,147,1264,714
LDWP,"10/14/2022 10 p.m. PDT",0,0,183,154,558,716
LDWP,"10/14/2022 11 p.m. PDT",0,0,182,155,1252,716
LDWP,"10/15/2022 12 a.m. PDT",0,0,182,153,1231,647
LDWP,"10/15/2022 1 a.m. PDT",0,0,6,152,1263,437
LDWP,"10/15/2022 2 a.m. PDT",0,0,0,147,1262,419
LDWP,"10/15/2022 3 a.m. PDT",0,0,0,146,1264,412
LDWP,"10/15/2022 4 a.m. PDT",0,0,0,150,1239,440
LDWP,"10/15/2022 5 a.m. PDT",1,0,0,216,1254,398
LDWP,"10/15/2022 6 a.m. PDT",3,0,0,220,1232,423
LDWP,"10/15/2022 7 a.m. PDT",1,0,0,209,1254,525
LDWP,"10/15/2022 8 a.m. PDT",4,148,0,198,1146,475
LDWP,"10/15/2022 9 a.m. PDT",0,607,0,186,768,408
LDWP,"10/15/2022 10 a.m. PDT",0,887,0,131,641,406
LDWP,"10/15/2022 11 a.m. PDT",2,913,0,124,618,405
LDWP,"10/15/2022 12 p.m. PDT",6,937,0,115,678,415
LDWP,"10/15/2022 1 p.m. PDT",16,864,0,115,686,418
LDWP,"10/15/2022 2 p.m. PDT",23,801,0,123,775,420
LDWP,"10/15/2022 3 p.m. PDT",33,655,0,170,963,422
LDWP,"10/15/2022 4 p.m. PDT",36,466,0,245,999,417
LDWP,"10/15/2022 5 p.m. PDT",59,518,0,233,1092,514
LDWP,"10/15/2022 6 p.m. PDT",91,133,0,234,1265,694
LDWP,"10/15/2022 7 p.m. PDT",73,1,182,225,1268,730
LDWP,"10/15/2022 8 p.m. PDT",79,0,187,225,1269,736
LDWP,"10/15/2022 9 p.m. PDT",141,0,187,221,1271,718
LDWP,"10/15/2022 10 p.m. PDT",103,0,187,218,1271,727
LDWP,"10/15/2022 11 p.m. PDT",62,0,185,232,1270,750
LDWP,"10/16/2022 12 a.m. PDT",64,0,3,228,1270,728
LDWP,"10/16/2022 1 a.m. PDT",89,0,0,215,1262,558
LDWP,"10/16/2022 2 a.m. PDT",86,0,0,217,1269,462
LDWP,"10/16/2022 3 a.m. PDT",88,0,0,208,1133,405
LDWP,"10/16/2022 4 a.m. PDT",37,0,0,199,1234,399
LDWP,"10/16/2022 5 a.m. PDT",26,0,0,199,1277,398
LDWP,"10/16/2022 6 a.m. PDT",20,0,0,201,1272,395
LDWP,"10/16/2022 7 a.m. PDT",7,0,0,204,1273,436
LDWP,"10/16/2022 8 a.m. PDT",1,109,0,191,1227,397
LDWP,"10/16/2022 9 a.m. PDT",0,545,0,123,804,404
LDWP,"10/16/2022 10 a.m. PDT",3,772,0,144,691,404
LDWP,"10/16/2022 11 a.m. PDT",18,810,0,117,564,401
LDWP,"10/16/2022 12 p.m. PDT",26,896,0,102,437,399
LDWP,"10/16/2022 1 p.m. PDT",36,922,0,109,515,398
LDWP,"10/16/2022 2 p.m. PDT",46,955,0,101,432,399
LDWP,"10/16/2022 3 p.m. PDT",31,942,0,101,432,399
LDWP,"10/16/2022 4 p.m. PDT",29,842,0,110,475,399
