"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"12/12/2022 7 a.m. EST",-3,39,1188,0,1941,-20,2887
CPLE,"12/12/2022 8 a.m. EST",87,39,1135,0,2136,-21,2888
CPLE,"12/12/2022 9 a.m. EST",603,36,1011,0,1821,-20,2889
CPLE,"12/12/2022 10 a.m. EST",1383,39,914,42,1421,-21,2886
CPLE,"12/12/2022 11 a.m. EST",1885,36,882,48,1436,-21,2886
CPLE,"12/12/2022 12 p.m. EST",2096,39,815,0,1385,-22,2730
CPLE,"12/12/2022 1 p.m. EST",1938,35,719,0,1093,-23,2850
CPLE,"12/12/2022 2 p.m. EST",1711,38,734,0,978,-25,2862
CPLE,"12/12/2022 3 p.m. EST",1418,38,759,0,1116,-25,2871
CPLE,"12/12/2022 4 p.m. EST",817,32,923,0,1545,-30,2883
CPLE,"12/12/2022 5 p.m. EST",175,40,1068,0,1813,-31,2893
CPLE,"12/12/2022 6 p.m. EST",31,40,1090,0,2153,-29,2899
CPLE,"12/12/2022 7 p.m. EST",29,37,1082,0,2293,-26,2909
CPLE,"12/12/2022 8 p.m. EST",28,37,1084,0,2420,-19,2894
CPLE,"12/12/2022 9 p.m. EST",0,33,1117,0,2415,14,2900
CPLE,"12/12/2022 10 p.m. EST",-3,40,1113,0,2401,109,2743
CPLE,"12/12/2022 11 p.m. EST",-2,38,1113,0,2397,132,2758
CPLE,"12/13/2022 12 a.m. EST",-3,37,1111,-1,2064,132,2769
CPLE,"12/13/2022 1 a.m. EST",-1,38,1100,-2,1862,131,2782
CPLE,"12/13/2022 2 a.m. EST",0,36,1107,-1,1915,130,2796
CPLE,"12/13/2022 3 a.m. EST",0,38,1109,-1,1918,185,2811
CPLE,"12/13/2022 4 a.m. EST",-3,37,1109,0,2002,328,2822
CPLE,"12/13/2022 5 a.m. EST",-2,37,1104,0,2271,430,2834
CPLE,"12/13/2022 6 a.m. EST",-5,39,1136,0,2801,437,2849
CPLE,"12/13/2022 7 a.m. EST",-1,37,1194,0,3102,434,2863
CPLE,"12/13/2022 8 a.m. EST",123,36,1112,0,3099,435,2871
CPLE,"12/13/2022 9 a.m. EST",785,38,1025,0,2412,423,2881
CPLE,"12/13/2022 10 a.m. EST",1639,36,957,0,2061,192,2890
CPLE,"12/13/2022 11 a.m. EST",2052,37,994,0,1932,116,2898
CPLE,"12/13/2022 12 p.m. EST",2169,39,888,0,1586,117,2903
CPLE,"12/13/2022 1 p.m. EST",2134,36,846,0,1562,116,2903
CPLE,"12/13/2022 2 p.m. EST",1987,38,919,0,1736,119,2903
CPLE,"12/13/2022 3 p.m. EST",1703,56,946,0,1824,364,2899
CPLE,"12/13/2022 4 p.m. EST",998,55,982,0,1834,446,2906
CPLE,"12/13/2022 5 p.m. EST",210,56,1072,0,1985,451,2901
CPLE,"12/13/2022 6 p.m. EST",28,57,1090,0,2334,493,2901
CPLE,"12/13/2022 7 p.m. EST",32,54,1090,0,2581,504,2902
CPLE,"12/13/2022 8 p.m. EST",32,56,1085,0,2570,511,2900
CPLE,"12/13/2022 9 p.m. EST",-5,55,1120,0,2585,559,2904
CPLE,"12/13/2022 10 p.m. EST",0,62,1116,0,2398,609,2903
CPLE,"12/13/2022 11 p.m. EST",-3,65,1118,0,2065,620,2902
CPLE,"12/14/2022 12 a.m. EST",-1,62,1110,0,2079,656,2901
CPLE,"12/14/2022 1 a.m. EST",0,65,1108,-1,2043,693,2900
CPLE,"12/14/2022 2 a.m. EST",-3,64,1064,-1,1766,692,2894
CPLE,"12/14/2022 3 a.m. EST",-5,63,1069,-1,1704,696,2873
CPLE,"12/14/2022 4 a.m. EST",-2,63,1103,-1,1732,685,2856
CPLE,"12/14/2022 5 a.m. EST",-2,64,1134,-1,1926,712,2856
CPLE,"12/14/2022 6 a.m. EST",0,50,1146,0,2273,802,2852
CPLE,"12/14/2022 7 a.m. EST",-4,44,1144,0,2706,853,2856
CPLE,"12/14/2022 8 a.m. EST",70,41,1094,0,3035,832,2852
CPLE,"12/14/2022 9 a.m. EST",306,14,1040,0,2596,834,2859
CPLE,"12/14/2022 10 a.m. EST",556,12,977,0,2125,876,2854
CPLE,"12/14/2022 11 a.m. EST",702,10,1005,0,2277,979,2856
CPLE,"12/14/2022 12 p.m. EST",699,14,1074,0,2315,1177,2853
CPLE,"12/14/2022 1 p.m. EST",559,13,1175,0,2302,1203,2855
CPLE,"12/14/2022 2 p.m. EST",405,32,1177,0,2326,1265,2852
CPLE,"12/14/2022 3 p.m. EST",275,40,1179,0,2437,1357,2853
CPLE,"12/14/2022 4 p.m. EST",148,32,1182,0,2557,1390,2871
CPLE,"12/14/2022 5 p.m. EST",48,41,1177,0,2554,1411,2883
CPLE,"12/14/2022 6 p.m. EST",27,41,1183,0,2748,1421,2890
CPLE,"12/14/2022 7 p.m. EST",27,39,1179,0,2767,1447,2892
CPLE,"12/14/2022 8 p.m. EST",25,37,1116,0,2795,1472,2891
CPLE,"12/14/2022 9 p.m. EST",-1,37,1139,0,2776,1474,2894
CPLE,"12/14/2022 10 p.m. EST",-3,38,1138,0,2657,1425,2774
CPLE,"12/14/2022 11 p.m. EST",-4,36,1120,0,2307,1454,2787
CPLE,"12/15/2022 12 a.m. EST",-3,37,1111,0,2206,1463,2804
CPLE,"12/15/2022 1 a.m. EST",-4,20,1113,0,2133,1449,2814
CPLE,"12/15/2022 2 a.m. EST",-1,11,1106,0,1903,1408,2820
CPLE,"12/15/2022 3 a.m. EST",-2,11,1092,0,1808,1481,2831
