,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4609,2023-12-08T23-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,22
4608,2023-12-08T23-06,ERCO,NG,Natural Gas,13893,megawatthours,2023-12-08,22
4605,2023-12-09T00-06,ERCO,NG,Natural Gas,12961,megawatthours,2023-12-08,23
4607,2023-12-09T00-06,ERCO,WND,Wind,19045,megawatthours,2023-12-08,23
4606,2023-12-09T00-06,ERCO,SUN,Solar,0,megawatthours,2023-12-08,23
4604,2023-12-09T01-06,ERCO,WND,Wind,18103,megawatthours,2023-12-09,0
4603,2023-12-09T01-06,ERCO,SUN,Solar,0,megawatthours,2023-12-09,0
4602,2023-12-09T01-06,ERCO,NG,Natural Gas,12370,megawatthours,2023-12-09,0
4601,2023-12-09T02-06,ERCO,WND,Wind,16255,megawatthours,2023-12-09,1
4600,2023-12-09T02-06,ERCO,SUN,Solar,0,megawatthours,2023-12-09,1
4599,2023-12-09T02-06,ERCO,NG,Natural Gas,12629,megawatthours,2023-12-09,1
4598,2023-12-09T03-06,ERCO,WND,Wind,14780,megawatthours,2023-12-09,2
4597,2023-12-09T03-06,ERCO,SUN,Solar,0,megawatthours,2023-12-09,2
4596,2023-12-09T03-06,ERCO,NG,Natural Gas,12656,megawatthours,2023-12-09,2
4595,2023-12-09T04-06,ERCO,WND,Wind,13615,megawatthours,2023-12-09,3
4594,2023-12-09T04-06,ERCO,SUN,Solar,0,megawatthours,2023-12-09,3
4593,2023-12-09T04-06,ERCO,NG,Natural Gas,12966,megawatthours,2023-12-09,3
4592,2023-12-09T05-06,ERCO,WND,Wind,14286,megawatthours,2023-12-09,4
4591,2023-12-09T05-06,ERCO,SUN,Solar,0,megawatthours,2023-12-09,4
4590,2023-12-09T05-06,ERCO,NG,Natural Gas,12766,megawatthours,2023-12-09,4
