BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ISNE,2/11/2023 1 p.m. EST,10048,10050,8898,-1150
ISNE,2/11/2023 2 p.m. EST,10124,9940,8960,-1164
ISNE,2/11/2023 3 p.m. EST,10355,10580,8947,-1408
ISNE,2/11/2023 4 p.m. EST,11483,11810,9526,-1957
ISNE,2/11/2023 5 p.m. EST,12977,13280,10690,-2287
ISNE,2/11/2023 6 p.m. EST,14322,14530,11826,-2496
ISNE,2/11/2023 7 p.m. EST,14621,14820,12184,-2437
ISNE,2/11/2023 8 p.m. EST,14371,14470,11903,-2468
ISNE,2/11/2023 9 p.m. EST,13997,13970,11632,-2365
ISNE,2/11/2023 10 p.m. EST,13475,13430,11067,-2408
ISNE,2/11/2023 11 p.m. EST,12800,12780,10573,-2227
ISNE,2/12/2023 12 a.m. EST,12350,12090,10298,-2052
ISNE,2/12/2023 1 a.m. EST,11981,11660,9876,-2105
ISNE,2/12/2023 2 a.m. EST,12039,11340,9815,-2224
ISNE,2/12/2023 3 a.m. EST,12005,11190,9981,-2024
ISNE,2/12/2023 4 a.m. EST,11801,11150,9688,-2113
ISNE,2/12/2023 5 a.m. EST,11790,11250,9548,-2242
ISNE,2/12/2023 6 a.m. EST,11869,11580,9334,-2535
ISNE,2/12/2023 7 a.m. EST,12077,12100,9455,-2622
ISNE,2/12/2023 8 a.m. EST,12350,12370,9720,-2630
ISNE,2/12/2023 9 a.m. EST,12058,12010,9678,-2380
ISNE,2/12/2023 10 a.m. EST,11745,11310,9451,-2294
ISNE,2/12/2023 11 a.m. EST,11301,10870,9272,-2029
ISNE,2/12/2023 12 p.m. EST,11138,10750,9114,-2024
ISNE,2/12/2023 1 p.m. EST,11166,10810,9089,-2077
ISNE,2/12/2023 2 p.m. EST,11419,11350,9134,-2285
ISNE,2/12/2023 3 p.m. EST,11968,11940,9597,-2371
ISNE,2/12/2023 4 p.m. EST,12811,12870,10376,-2435
ISNE,2/12/2023 5 p.m. EST,13860,14130,11200,-2660
ISNE,2/12/2023 6 p.m. EST,14988,15160,12413,-2575
ISNE,2/12/2023 7 p.m. EST,14920,14980,12260,-2660
ISNE,2/12/2023 8 p.m. EST,14168,14680,11425,-2743
ISNE,2/12/2023 9 p.m. EST,13612,14170,10964,-2648
ISNE,2/12/2023 10 p.m. EST,13113,13400,10709,-2404
ISNE,2/12/2023 11 p.m. EST,12555,12520,10177,-2378
ISNE,2/13/2023 12 a.m. EST,12012,11740,9485,-2527
ISNE,2/13/2023 1 a.m. EST,11661,11100,9068,-2593
ISNE,2/13/2023 2 a.m. EST,11878,10790,9145,-2733
ISNE,2/13/2023 3 a.m. EST,11774,10660,9025,-2749
ISNE,2/13/2023 4 a.m. EST,11787,10710,9088,-2699
ISNE,2/13/2023 5 a.m. EST,11822,11080,9197,-2625
ISNE,2/13/2023 6 a.m. EST,12218,12130,9634,-2584
ISNE,2/13/2023 7 a.m. EST,13412,13720,11303,-2109
ISNE,2/13/2023 8 a.m. EST,14259,14620,12372,-1887
ISNE,2/13/2023 9 a.m. EST,14061,14280,11718,-2343
ISNE,2/13/2023 10 a.m. EST,13487,13490,11097,-2390
ISNE,2/13/2023 11 a.m. EST,13015,13070,10703,-2312
ISNE,2/13/2023 12 p.m. EST,12544,12740,10155,-2389
ISNE,2/13/2023 1 p.m. EST,12008,12480,9729,-2279
ISNE,2/13/2023 2 p.m. EST,11803,12500,9429,-2374
ISNE,2/13/2023 3 p.m. EST,11973,12730,9441,-2532
ISNE,2/13/2023 4 p.m. EST,12676,13390,10071,-2605
ISNE,2/13/2023 5 p.m. EST,13997,14540,11728,-2269
ISNE,2/13/2023 6 p.m. EST,15309,15720,12958,-2351
ISNE,2/13/2023 7 p.m. EST,15599,15890,13394,-2205
ISNE,2/13/2023 8 p.m. EST,15204,15460,12797,-2407
ISNE,2/13/2023 9 p.m. EST,14601,14780,12220,-2381
ISNE,2/13/2023 10 p.m. EST,13704,13910,11387,-2317
ISNE,2/13/2023 11 p.m. EST,12668,12890,10340,-2328
ISNE,2/14/2023 12 a.m. EST,12026,12020,9666,-2360
ISNE,2/14/2023 1 a.m. EST,11989,11410,9387,-2602
ISNE,2/14/2023 2 a.m. EST,11746,11060,9081,-2665
ISNE,2/14/2023 3 a.m. EST,11621,10940,8893,-2728
ISNE,2/14/2023 4 a.m. EST,11378,10710,8594,-2784
ISNE,2/14/2023 5 a.m. EST,11723,11050,8963,-2760
ISNE,2/14/2023 6 a.m. EST,12434,11990,9605,-2829
ISNE,2/14/2023 7 a.m. EST,13495,13470,10583,-2912
